データフロー名,エンティティ名,開始時刻,終了時刻,状態,upsert 数,挿入回数,エラー数,状態の詳細
郵便番号データ,,2024/8/31 午前9:08:47,2024/8/31 午前9:24:15,Success,,,,要求 ID: 870e7b7e-0d84-4484-a30e-93d84e798b7f
郵便番号データ,utf_ken_all,2024/8/31 午前9:09:04,2024/8/31 午前9:24:07,成功,0,124386,0,
