データフロー名,エンティティ名,開始時刻,終了時刻,状態,upsert 数,挿入回数,エラー数,状態の詳細
ニコニコ大百科IME辞書,,2024/8/27 午後10:12:24,2024/8/28 午前2:30:26,Success,,,,要求 ID: cb0318c7-0648-4c35-9254-ecabacd73a49
ニコニコ大百科IME辞書,nicoime_msime,2024/8/27 午後10:12:39,2024/8/28 午前2:30:11,成功,0,261890,0,
