データフロー名,エンティティ名,開始時刻,終了時刻,状態,upsert 数,挿入回数,エラー数,状態の詳細
郵便番号データ,,2024/8/31 午前9:57:34,2024/8/31 午前10:09:55,Success,,,,要求 ID: bdbff97a-6813-4a41-a50e-37467a75a013
郵便番号データ,utf_ken_all,2024/8/31 午前9:57:40,2024/8/31 午前10:09:41,成功,0,124386,0,
