データフロー名,エンティティ名,開始時刻,終了時刻,状態,upsert 数,挿入回数,エラー数,状態の詳細
ニコニコ大百科IME辞書,,2024/8/31 午前8:06:34,2024/8/31 午前8:22:28,Success,,,,要求 ID: c60436de-be02-4d14-b7aa-ee67fd311491
ニコニコ大百科IME辞書,nicoime_msime,2024/8/31 午前8:06:46,2024/8/31 午前8:22:17,成功,0,261890,0,
